App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
BRINT e-KANTIN | Kantin Digital,com.brint.ekantin,Business,4.8,9,50+,50,65,TRUE,0,USD,28M,4.4 and up,PT. BRINT MITRA INTEGRASI,https://brint.id,hello.brint@gmail.com,"Dec 23, 2020","Dec 25, 2020",Everyone,http://brint.id/ekantin/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Garden Photo Frame,app.tocus.photoframe.gardenphotoframe,Photography,4.4,346,"100,000+",100000,170906,TRUE,0,USD,5.2M,4.1 and up,Tocus App,https://tocusinfotech.com,tocus.app@gmail.com,"Jul 11, 2016","May 26, 2021",Everyone,https://sites.google.com/view/tocusapp,TRUE,FALSE,FALSE,16-06-2021 02:47
Servicefokuz,com.skyislimit.servicefokuz,Productivity,0,0,5+,5,7,TRUE,0,USD,31M,5.0 and up,Skyislimit Technologies Pvt.Ltd.,https://salesfokuz.com,salesfokuzdeveloper@gmail.com,"Mar 5, 2021","May 07, 2021",Everyone,https://salesfokuz.com/terms-services,FALSE,FALSE,FALSE,16-06-2021 02:47
Guaracoop Radio Taxi,net.taxidigital.guaracoop,Maps & Navigation,4.1,7,500+,500,867,TRUE,0,USD,26M,4.4 and up,Táxi Digital,http://taxidigital.net,taxidevice@gmail.com,,"Aug 17, 2020",Everyone,https://portal.taxidigital.net/TaxiDigital/portal/termosuso?cf=222,FALSE,FALSE,FALSE,16-06-2021 02:47
DEV10 - PDV,br.com.pedidos10.pdv,Business,0,0,"1,000+",1000,1605,TRUE,0,USD,2.9M,5.0 and up,DEV10 Soluções em Sofware Ltda,http://www.pedidos10.com.br,contato@pedidos10.com.br,,"Sep 23, 2020",Everyone,https://www.pedidos10.com.br/termo-condicoes.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Biology Notes,com.techzone.higher.biology,Education,4.1,476,"100,000+",100000,246833,TRUE,0,USD,13M,4.4 and up,Tech Zone App's,http://preparation247.in/,azadsingh.info@gmail.com,"Jun 8, 2018","Oct 08, 2020",Everyone,http://preparation247.in/,TRUE,FALSE,FALSE,16-06-2021 02:47
Stack Match - Color Hoop,com.seepeegames.stackhoopsortitpuzzle,Puzzle,3.4,37,"10,000+",10000,17258,TRUE,0,USD,30M,4.1 and up,See Pee Games,,seepeegames@gmail.com,"Feb 2, 2020","Feb 08, 2020",Everyone,https://unconditionalgames.blogspot.com/2020/01/privacy-policy-this-privacy-policy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Endless Massager,com.nekobukiya.endlessvibrator,Health & Fitness,3.6,4122,"1,000,000+",1000000,1606766,TRUE,0,USD,1.8M,4.0 and up,nekobukiya,http://nekobukiya.com,nekobukiya@gmail.com,"Oct 13, 2013","Feb 26, 2020",Everyone,http://nekobukiya.com/privacypolicy/,TRUE,FALSE,FALSE,16-06-2021 02:47
OSCE Reference Guide,com.luminousapps.oscereferenceguide,Medical,4,58,"10,000+",10000,38573,TRUE,0,USD,Varies with device,4.1 and up,luminous apps,https://www.luminousapps.net,luminous.apps@gmail.com,"Sep 17, 2016","Dec 06, 2019",Everyone 10+,https://www.luminousapps.net/privacy-policy/,TRUE,TRUE,FALSE,16-06-2021 02:47
Imran Sir Success Point,com.app.successpoint,Education,5,7,10+,10,18,TRUE,0,USD,9.2M,5.0 and up,Imran Sir Success Point,http://imransirsuccesspoint.in/,ssmyimran@gmail.com,"Jul 9, 2020","Jul 10, 2020",Everyone,http://imransirsuccesspoint.in/privacy_policy.html,FALSE,FALSE,FALSE,16-06-2021 02:47
